FOOD COMMODITY GROUP;Food commodity ITEM;Water Footprint liters water/kg o liter of food ITEM;Uncertainty    low  (L)  high (H);Suggested WF value;Food commodity TYPOLOGY;Water Footprint cc water/g o cc of food TYPOLOGY;Food commodity sub-TYPOLOGY;Water Footprint cc water/g o cc of food sub-TYPOLOGY;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;APPLE JUICE;1140;L;ok item;JUICE;1019;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BARLEY FLAKES;1977;L;ok item;BREAKFAST CEREALS;2196;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BEANS (F);801;L;ok item;VEGETABLES FROZEN;750;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BEER*;155;H;item matching typology;BEER*;155;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BEET SUGAR;865;L;ok item;SUGAR;1294;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BREAD;667;L;ok item;BREAD;902;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BREAD MULTICEREAL**;771;L;better typology;BREAD;902;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BREAD PLAIN**;1031;L;ok item;BREAD;902;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;BREAD WHOLE**;887;L;ok item;BREAD;902;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CAKES AND CROISSANT**;1640;L;ok item;SWEETS;2158;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CANE MOLASSE;527;L;ok item;SUGAR;1294;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CANE SUGAR;1724;L;ok item;SUGAR;1294;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CASSAVA FLOUR;1878;L;ok item;STARCHY ROOT FLOUR;1657;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CHOCOLATE;17196;L;ok item;COCOA DERIVATES;20717;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CHOCOLATE OR CREAM FILLED COOKIES**;2902;L;ok item;BISCUITS;1870;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COCOA BUTTER;33938;L;ok item;COCOA DERIVATES;20717;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COCOA CAKES AND CROISSANT**;3468;L;ok item;SWEETS;2158;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COCOA PASTE;24238;L;ok item;COCOA DERIVATES;20717;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COCOA POWDER;15618;L;ok item;COCOA DERIVATES;20717;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COCONUT OIL;4490;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COFFEE ROASTED;19956;H;item matching typology;COFFEE GROUND & PARCHMENT* (coffee roasted);19956;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COFFEE SOLUBLE;640;H;better typology;COFFEE LIQUID;960;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COFFEE STANDARD;1120;H;better typology;COFFEE LIQUID;960;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COFFEE STRONG;1600;H;better typology;COFFEE LIQUID;960;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;COFFEE WEAK;800;H;better typology;COFFEE LIQUID;960;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CORN CANNED;807;H;item matching typology;VEGETABLES CANNED;807;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;CRISPBREAD**;1423;L;item matching typology;CRISPBREAD**;1423;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;DRIED CASSAVA;1610;L;ok item;STARCHY TUBER;1523;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;EGG PASTA*;4637;H;item matching typology;EGG PASTA*;4637;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;FLAVORED CRACKERS**;1378;L;ok item;CRACKERS;1258;-;-;;;;;;;;;;;;;;;;;
